                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3788,                 1.0253,                0.91139,                0.84132,                      1,                0.94786,                0.52024,                 1.5355,                 0.8975,                0.95647,               0.008317,               0.008317,               0.008317
                     36,                 1.6866,                 1.2267,                0.93925,                0.84132,                      1,                0.94786,                0.52024,                 1.5355,                 0.8975,                0.95647,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.6071,                 1.0974,                 0.8982,                0.84132,                      1,                0.94786,                0.52024,                 1.5355,                 0.8975,                0.95647,               0.008218,               0.008218,               0.008218
                     38,                 2.1826,                  7.122,                0.96434,                0.38734,                      1,                  0.797,                0.45715,                 1.3873,                 3.5867,                0.92341,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.6943,                 2.9305,                0.90751,                0.38734,                      1,                  0.797,                0.45715,                 1.3873,                 3.5867,                0.92341,               0.008119,               0.008119,               0.008119
                     40,                 1.4404,                 2.3232,                0.92171,                      1,                0.94165,                  0.995,                0.53961,                 1.4564,                 1.4041,                0.92619,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.5991,                 1.8363,                0.93183,                      1,                0.94165,                  0.995,                0.53961,                 1.4564,                 1.4041,                0.92619,                0.00802,                0.00802,                0.00802
                     42,                 1.6422,                 1.7696,                0.92412,                      1,                0.94165,                  0.995,                0.53961,                 1.4564,                 1.4041,                0.92619,              0.0079705,              0.0079705,              0.0079705
                     43,                  1.758,                 1.6841,                0.84225,                0.98989,                      1,                  0.995,                0.63771,                 1.4956,                0.82963,                0.95733,               0.007921,               0.007921,               0.007921
                     44,                 1.4592,                 1.2996,                0.90558,                0.98989,                      1,                  0.995,                0.63771,                 1.4956,                0.82963,                0.95733,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.6321,                0.86636,                0.87421,                0.98989,                      1,                  0.995,                0.63771,                 1.4956,                0.82963,                0.95733,               0.007822,               0.007822,               0.007822
                     46,                 1.6164,                0.93305,                 0.8844,                0.85241,                0.96686,                0.97214,                0.54877,                 1.5111,                0.81143,                0.95212,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.6274,                 1.0149,                0.89337,                0.85241,                0.96686,                0.97214,                0.54877,                 1.5111,                0.81143,                0.95212,               0.007723,               0.007723,               0.007723
                     48,                 1.8469,                 1.0125,                0.93155,                0.98042,                      1,                  0.995,                0.42056,                 2.2895,                0.90582,                 1.0393,              0.0076735,              0.0076735,              0.0076735
                     49,                 2.1815,                 1.0851,                  1.015,                0.98042,                      1,                  0.995,                0.42056,                 2.2895,                0.90582,                 1.0393,               0.007624,               0.007624,               0.007624
                     50,                 2.0122,                 1.0809,                0.95127,                0.98042,                      1,                  0.995,                0.42056,                 2.2895,                0.90582,                 1.0393,              0.0075745,              0.0075745,              0.0075745
                     51,                 2.0478,                 1.0997,                0.95425,                      1,                0.98324,                  0.995,                0.68418,                 1.2563,                0.91981,                0.96847,               0.007525,               0.007525,               0.007525
                     52,                 1.6323,                 1.1929,                  1.021,                      1,                0.98324,                  0.995,                0.68418,                 1.2563,                0.91981,                0.96847,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.5149,                 1.0845,                 0.8974,                      1,                0.98324,                  0.995,                0.68418,                 1.2563,                0.91981,                0.96847,               0.007426,               0.007426,               0.007426
                     54,                 1.8266,                 1.3678,                0.93502,                0.98466,                      1,                  0.995,                0.56117,                 1.4573,                0.79134,                0.96721,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.6317,                0.92884,                0.93917,                0.98466,                      1,                  0.995,                0.56117,                 1.4573,                0.79134,                0.96721,               0.007327,               0.007327,               0.007327
                     56,                 1.5035,                0.86401,                0.93151,                0.97326,                      1,                  0.995,                0.47805,                 1.4652,                0.95017,                0.95965,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.7742,                0.91312,                0.92231,                0.97326,                      1,                  0.995,                0.47805,                 1.4652,                0.95017,                0.95965,               0.007228,               0.007228,               0.007228
                     58,                 1.6848,                0.78847,                 0.9312,                0.97326,                      1,                  0.995,                0.47805,                 1.4652,                0.95017,                0.95965,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.8043,                0.86221,                0.90388,                0.96782,                      1,                  0.995,                0.44249,                 1.6671,                 1.5486,                0.91763,               0.007129,               0.007129,               0.007129
                     60,                 1.9882,                 1.0878,                 1.0766,                0.96782,                      1,                  0.995,                0.44249,                 1.6671,                 1.5486,                0.91763,              0.0070795,              0.0070795,              0.0070795
                     61,                 2.0667,                 1.0239,                0.99001,                0.96782,                      1,                  0.995,                0.44249,                 1.6671,                 1.5486,                0.91763,                0.00703,                0.00703,                0.00703
                     62,                 1.9169,                 1.3641,                0.98215,                0.58816,                      1,                0.80633,                0.41574,                 1.4962,                 1.1668,                0.87597,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.7696,                 1.5905,                0.99432,                0.58816,                      1,                0.80633,                0.41574,                 1.4962,                 1.1668,                0.87597,               0.006931,               0.006931,               0.006931
                     64,                 1.7631,                 1.5588,                0.90894,                0.90658,                      1,                  0.995,                0.61621,                 1.4701,                 1.1103,                0.87468,              0.0068815,              0.0068815,              0.0068815
